와인 이름,원산지,탄산 유무,색상,당분 함량,양조 방법,바디감,숙성 정도,가격대,쓴맛,떫은맛,단맛,어울리는 음식 종류,어울리는 음식 장르
샤토 마고,프랑스,없음,레드,드라이,전통적 발효,풀바디,오래된,고가,중간,중간,낮음,"소고기, 양고기","프랑스식, 양식"
리슬링 카비넷,독일,없음,화이트,약간 달콤,냉침 발효,라이트바디,젊은,중가,낮음,낮음,중간,"해산물, 치즈","독일식, 양식"
프로세코,이탈리아,있음,화이트,브뤼,샤르마 방식,라이트바디,젊은,저가-중가,매우 낮음,낮음,낮음,"전채요리, 과일","이탈리아식, 양식"
말벡,아르헨티나,없음,레드,드라이,전통적 발효,미디엄-풀바디,중간,중가,중간,중간,낮음,"그릴된 육류, 치즈","아르헨티나식, 양식"
소비뇽 블랑,뉴질랜드,없음,화이트,드라이,저온 발효,라이트-미디엄바디,젊은,중가,낮음,낮음,낮음,"해산물, 샐러드","양식, 퓨전"
템프라니요,스페인,없음,레드,드라이,전통적 발효,미디엄-풀바디,중간-오래된,중가,중간,중간,낮음,"햄, 치즈, 구운 고기","스페인식, 양식"
게뷔르츠트라미너,프랑스,없음,화이트,약간 달콤,전통적 발효,미디엄바디,젊은-중간,중가,낮음,낮음,중간,"아시안 요리, 치즈","아시안, 퓨전"
진판델,미국,없음,레드,드라이-약간 달콤,전통적 발효,풀바디,중간,중가,중간,중간,중간,"바베큐, 피자","미국식, 이탈리아식"
샤르도네,호주,없음,화이트,드라이,오크 숙성,미디엄-풀바디,중간,중가-고가,낮음,낮음,낮음,"해산물, 크림 소스 요리","양식, 퓨전"
람브루스코,이탈리아,있음,레드,약간 달콤-달콤,샤르마 방식,라이트-미디엄바디,젊은,저가-중가,낮음,낮음,중간,"피자, 파스타",이탈리아식
바르베라,이탈리아,없음,레드,드라이,전통적 발효,미디엄바디,중간,중가,중간,중간,낮음,"파스타, 피자",이탈리아식
피노 누아,프랑스,없음,레드,드라이,전통적 발효,미디엄바디,중간,중가,중간,중간,낮음,"오리, 연어","프랑스식, 양식"
샤도네이,미국,없음,화이트,드라이,오크 숙성,미디엄-풀바디,중간,중가,낮음,낮음,낮음,"해산물, 치킨","미국식, 양식"
카베르네 소비뇽,칠레,없음,레드,드라이,전통적 발효,풀바디,중간-오래된,중가,중간,중간,낮음,"스테이크, 양고기","칠레식, 양식"
리즐링,독일,없음,화이트,달콤,냉침 발효,라이트바디,젊은,중가,낮음,낮음,중간,"아시아 요리, 치킨","아시아식, 퓨전"
그르너 벨트리너,오스트리아,없음,화이트,드라이,전통적 발효,라이트-미디엄바디,젊은,중가,낮음,낮음,낮음,"해산물, 샐러드","유럽식, 양식"
시라,프랑스,없음,레드,드라이,전통적 발효,풀바디,중간-오래된,중가,중간,중간,낮음,"양고기, 스테이크","프랑스식, 양식"
카베르네 프랑,프랑스,없음,레드,드라이,전통적 발효,미디엄바디,중간,중가,중간,중간,낮음,"구운 채소, 치즈","프랑스식, 양식"
말벡,아르헨티나,없음,레드,드라이,전통적 발효,미디엄-풀바디,중간,중가,중간,중간,낮음,"스테이크, 양고기","아르헨티나식, 양식"
피노 그리,이탈리아,없음,화이트,드라이,전통적 발효,미디엄바디,젊은,중가,낮음,낮음,낮음,"해산물, 샐러드","이탈리아식, 양식"
샤르도네,프랑스,없음,화이트,드라이,오크 숙성,미디엄-풀바디,중간,중가,낮음,낮음,낮음,"해산물, 크림 소스 요리","프랑스식, 양식"
카르미네르,칠레,없음,레드,드라이,전통적 발효,미디엄-풀바디,중간,중가,중간,중간,낮음,"양고기, 스테이크","칠레식, 양식"
소비뇽 블랑,프랑스,없음,화이트,드라이,저온 발효,라이트-미디엄바디,젊은,중가,낮음,낮음,낮음,"해산물, 샐러드","프랑스식, 양식"
진판델,미국,없음,레드,드라이-약간 달콤,전통적 발효,풀바디,중간,중가,중간,중간,중간,"바베큐, 피자","미국식, 이탈리아식"
네비올로,이탈리아,없음,레드,드라이,전통적 발효,풀바디,오래된,고가,중간,중간,낮음,"스테이크, 양고기","이탈리아식, 양식"
바르베라,이탈리아,없음,레드,드라이,전통적 발효,미디엄바디,중간,중가,중간,중간,낮음,"파스타, 피자",이탈리아식
비오니에,프랑스,없음,화이트,드라이,전통적 발효,미디엄바디,젊은,중가,낮음,낮음,낮음,"해산물, 치킨","프랑스식, 양식"
피노 누아,미국,없음,레드,드라이,전통적 발효,미디엄바디,중간,중가,중간,중간,낮음,"연어, 오리","미국식, 양식"
카베르네 소비뇽,호주,없음,레드,드라이,전통적 발효,풀바디,중간,중가,중간,중간,낮음,"스테이크, 양고기","호주식, 양식"
리슬링,호주,없음,화이트,드라이,냉침 발효,라이트바디,젊은,중가,낮음,낮음,중간,"아시아 요리, 치킨","아시아식, 퓨전"
그르너 벨트리너,오스트리아,없음,화이트,드라이,전통적 발효,라이트-미디엄바디,젊은,중가,낮음,낮음,낮음,"해산물, 샐러드","유럽식, 양식"
시라,호주,없음,레드,드라이,전통적 발효,풀바디,중간-오래된,중가,중간,중간,낮음,"양고기, 스테이크","호주식, 양식"
카베르네 프랑,프랑스,없음,레드,드라이,전통적 발효,미디엄바디,중간,중가,중간,중간,낮음,"구운 채소, 치즈","프랑스식, 양식"
